UTS Latitude Longitude
1201960856 116.58189 40.04807
1201961459 116.57691 40.06011
1201962066 116.52716 40.03988
1201962367 116.50635 40.0103
1201963574 116.39985 39.94799
1201965232 116.34497 39.9719
1201965836 116.34497 39.9719
1201967618 116.36342 39.98455
1201968054 116.36554 39.98809
1201971415 116.33321 39.94978
1201972018 116.35704 39.96641
1201972319 116.39641 39.96735
1201972621 116.43777 39.96337
1201972923 116.46803 39.97418
1201973224 116.52254 40.01842
1201973526 116.57109 40.03886
1201973828 116.58338 40.07638
1201974130 116.58319 40.07952
1201974432 116.5815 40.06876
1201974733 116.5768 40.06283
1201975035 116.56432 40.06145
1201975337 116.56385 40.06344
1201975639 116.56385 40.06344
1201976242 116.56275 40.06804
1201976544 116.56426 40.0702
1201977148 116.56666 40.0711
1201977450 116.56666 40.0711
1201977751 116.56666 40.0711
1201978053 116.56666 40.0711
1201978355 116.56666 40.0711
1201978657 116.56666 40.0711
1201978958 116.56666 40.0711
1201979260 116.56666 40.0711
1201979562 116.56666 40.0711
1201979716 116.56666 40.0711
1201980408 116.56667 40.0711
1201980710 116.56667 40.0711
1201981012 116.56667 40.0711
1201981313 116.56459 40.07091
1201981615 116.56268 40.06819
1201981916 116.58277 40.0609
1201982218 116.58262 40.06253
1201982520 116.58262 40.06253
1201982822 116.58222 40.06506
1201983124 116.58173 40.06798
1201983425 116.58127 40.07094
1201983727 116.58066 40.07475
1201984029 116.58178 40.0759
1201984331 116.58232 40.07456
1201984633 116.58256 40.07457
1201984934 116.58346 40.07585
1201985236 116.58504 40.07663
1201985538 116.58759 40.07809
1201985958 116.5693 40.03703
1201986260 116.49928 40.00258
1201986562 116.44484 39.95347
1201986864 116.42783 39.92465
1201987166 116.40511 39.92303
1201987467 116.40159 39.92291
1201987467 116.40159 39.92291
1201988109 116.42283 39.92632
1201988411 116.43104 39.9323
1201988713 116.44158 39.93503
1201990077 116.44148 39.93493
1201990077 116.44148 39.93493
1201990379 116.44404 39.92923
1201990681 116.43786 39.92117
1201990983 116.44036 39.91608
1201991586 116.4326 39.90657
1201992391 116.43486 39.91327
1201992771 116.42063 39.91345
1201993691 116.42392 39.9352
1201994356 116.36719 39.94758
1201996677 116.4221 39.86009
1201997564 116.38385 39.88237
1201998892 116.31142 39.88246
1201999496 116.32941 39.90808
1202000382 116.3209 39.93202
1202001008 116.31589 39.96716
1202032206 116.36444 39.96297
1202032507 116.36445 39.96297
1202032809 116.36445 39.96297
1202033111 116.37311 39.96032
1202034284 116.37602 39.90829
1202034586 116.37653 39.90459
1202034795 116.37483 39.90282
1202035097 116.38546 39.90981
1202035398 116.4032 39.92298
1202035700 116.4047 39.92154
1202036002 116.3906 39.93215
1202036890 116.36002 39.94416
1202037680 116.39764 39.98659
1202039198 116.37715 39.98315
1202039752 116.39553 39.96674
1202041076 116.38974 39.93744
1202041298 116.38824 39.93433
1202041600 116.38135 39.9343
1202041905 116.37309 39.93867
1202042206 116.36598 39.94672
1202042508 116.36892 39.95657
1202042810 116.37109 39.96029
1202043112 116.37109 39.96029
1202043112 116.37109 39.96029
1202043912 116.35603 39.94465
1202044214 116.3552 39.95395
1202044516 116.3643 39.95665
1202044818 116.37303 39.97514
1202044818 116.37303 39.97514
1202045120 116.37235 39.97379
1202045421 116.37235 39.97379
1202046025 116.37067 39.9705
1202047784 116.39964 39.94808
1202048085 116.3889 39.95857
1202048387 116.36548 39.96667
1202048689 116.34455 39.97018
1202048993 116.34734 39.96551
1202049295 116.36476 39.95682
1202049467 116.36438 39.96299
1202050750 116.36469 39.9568
1202051052 116.36419 39.96055
1202051354 116.36435 39.96063
1202052178 116.40162 39.9652
1202052781 116.40491 39.97099
1202053504 116.3872 39.95554
1202053805 116.37866 39.95197
1202053877 116.37651 39.95004
1202054107 116.37243 39.94875
1202054180 116.28802 39.85091
1202054184 116.37283 39.94715
1202054485 116.37375 39.93245
1202054787 116.36178 39.93109
1202055089 116.3398 39.93114
1202055580 116.34112 39.93761
1202055882 116.35745 39.93536
1202056184 116.36968 39.93135
1202056485 116.39649 39.93199
1202056485 116.39649 39.93199
1202056787 116.4027 39.93055
1202057089 116.40285 39.93025
1202057391 116.4029 39.93034
1202057693 116.40285 39.93033
1202057994 116.40283 39.93037
1202058296 116.40284 39.93038
1202059393 116.35088 39.94728
1202059393 116.35088 39.94728
1202059694 116.35522 39.95117
1202059851 116.35769 39.95122
1202060301 116.35519 39.95341
1202060603 116.35634 39.95665
1202060905 116.36413 39.96047
1202061509 116.36396 39.96046
1202062234 116.41089 39.96752
1202062536 116.40639 39.96369
1202062837 116.40484 39.97099
1202063139 116.40485 39.97099
1202065679 116.37125 39.91094
1202065981 116.36738 39.91343
1202066023 116.36424 39.91304
1202066325 116.35062 39.91713
1202066627 116.3503 39.92236
1202066928 116.3332 39.92182
1202066928 116.3332 39.92182
1202067229 116.3286 39.92175
1202067531 116.31612 39.92238
1202067833 116.29057 39.92279
1202068135 116.27107 39.92304
1202068437 116.26243 39.9232
1202068738 116.25871 39.92387
1202069040 116.25392 39.92815
1202069342 116.25394 39.9281
1202069644 116.2585 39.92344
1202070066 116.25381 39.92096
1202070368 116.25844 39.90972
1202070772 116.26689 39.9061
1202071074 116.27054 39.90607
1202071376 116.27054 39.90607
1202071678 116.27054 39.90607
1202071760 116.27125 39.90618
1202072062 116.2774 39.90849
1202072948 116.28892 39.96092
1202074497 116.3012 39.87981
1202074798 116.30448 39.88775
1202075100 116.30458 39.8883
1202075402 116.30458 39.8883
1202075484 116.30443 39.88961
1202075786 116.30398 39.93401
1202076088 116.29958 39.95421
1202076390 116.31043 39.95571
1202076692 116.32919 39.95639
1202076993 116.3593 39.95651
1202077297 116.36232 39.9566
1202077602 116.36585 39.95678
1202077904 116.34454 39.9666
1202078139 116.34459 39.96987
1202117926 116.32427 39.95584
1202120236 116.58656 40.07907
1202120840 116.58796 40.05488
1202121443 116.58817 40.05327
1202121443 116.58817 40.05327
1202121745 116.58673 40.04219
1202122047 116.58856 40.04784
1202122349 116.5865 40.0437
1202122650 116.57916 40.04925
1202122952 116.57801 40.05917
1202123254 116.55045 40.06401
1202123556 116.53328 40.05117
1202123858 116.51683 40.0238
1202125486 116.43175 39.9214
1202126680 116.44072 39.96405
1202126982 116.43616 39.96479
1202127284 116.43047 39.96814
1202127886 116.43038 39.96817
1202128163 116.42813 39.96845
1202128465 116.39833 39.96756
1202128767 116.40094 39.97196
1202129870 116.35141 39.99359
1202130571 116.37841 39.98113
1202131265 116.36303 39.99133
1202131567 116.35147 39.9924
1202131869 116.35158 39.99209
1202132473 116.35158 39.99209
1202132473 116.35158 39.99209
1202132774 116.35135 39.99215
1202134004 116.2632 39.93903
1202134305 116.28004 39.94522
1202134909 116.28641 39.94628
1202136402 116.36438 39.96096
1202136708 116.36389 39.96597
1202137010 116.34468 39.97013
1202139358 116.58032 40.07614
1202139659 116.57795 40.0627
1202139961 116.56663 40.0705
1202140263 116.56601 40.0712
1202140565 116.56601 40.0712
1202140866 116.56601 40.0712
1202141167 116.56601 40.0712
1202141167 116.56601 40.0712
1202141345 116.56601 40.0712
1202141469 116.56601 40.0712
1202141771 116.56601 40.0712
1202142073 116.56601 40.0712
1202142374 116.56601 40.0712
1202142676 116.56601 40.0712
1202142978 116.56601 40.0712
1202143280 116.56601 40.0712
1202143582 116.56601 40.0712
1202144185 116.56601 40.0712
1202144487 116.56601 40.0712
1202144789 116.56601 40.0712
1202145091 116.56601 40.0712
1202145392 116.56601 40.0712
1202145694 116.56601 40.0712
1202145996 116.56601 40.0712
1202146298 116.56601 40.0712
1202146599 116.56601 40.0712
1202146901 116.56601 40.0712
1202147123 116.56601 40.0712
1202149218 116.56602 40.07114
1202149520 116.56602 40.07114
1202150424 116.58092 40.06233
1202151028 116.58243 40.06366
1202151028 116.58243 40.06366
1202151329 116.58228 40.06477
1202151631 116.58218 40.06521
1202151933 116.58205 40.06617
1202152537 116.58155 40.06915
1202152838 116.58086 40.073
1202153140 116.58123 40.07647
1202153744 116.58596 40.0774
1202154362 116.57937 40.04742
1202154664 116.5217 40.01818
1202155268 116.43736 39.9859
1202155570 116.40248 39.99351
1202155871 116.40112 39.99196
1202155899 116.40117 39.99065
1202156200 116.4358 39.98644
1202156502 116.45914 39.98653
1202156804 116.4638 39.99106
1202157106 116.46295 39.99035
1202157408 116.46591 39.98282
1202157408 116.46591 39.98282
1202157467 116.46973 39.98036
1202157769 116.47233 39.97398
1202158070 116.45749 39.95652
