UTS Latitude Longitude
1201959551 116.42137 39.89239
1201959851 116.42519 39.8831
1201960446 116.42466 39.8827
1201960614 116.44567 39.88311
1201960914 116.45456 39.8708
1201961095 116.44989 39.87372
1201961285 116.45453 39.8745
1201961585 116.43824 39.87234
1201961885 116.4229 39.8828
1201962038 116.41384 39.88557
1201962338 116.41282 39.89101
1201962442 116.412 39.89416
1201963042 116.37717 39.90585
1201963342 116.35808 39.90596
1201963642 116.32843 39.91224
1201963942 116.32851 39.91989
1201964242 116.32604 39.92545
1201964431 116.32588 39.92543
1201964731 116.32572 39.92678
1201964929 116.32711 39.92695
1201965229 116.31849 39.92231
1201965529 116.28211 39.92303
1201966703 116.25816 39.92273
1201966832 116.25867 39.91646
1201967519 116.28068 39.90605
1201967950 116.28283 39.89536
1201967987 116.2828 39.89535
1201968287 116.29941 39.8956
1201968580 116.30767 39.89558
1201968863 116.30767 39.89558
1201969092 116.30767 39.89558
1201969430 116.35789 39.89805
1201970630 116.40058 39.917
1201970805 116.40808 39.91737
1201971105 116.40511 39.91465
1201971224 116.40474 39.92163
1201971224 116.40474 39.92163
1201971524 116.41898 39.9229
1201971824 116.42888 39.92289
1201971997 116.42591 39.92347
1201972297 116.4282 39.92168
1201972597 116.421 39.91424
1201972823 116.41145 39.91924
1201973123 116.41783 39.92291
1201973423 116.43178 39.9229
1201974023 116.45146 39.91742
1201974370 116.45169 39.9084
1201974390 116.45239 39.90814
1201974690 116.4448 39.90716
1201975579 116.40471 39.92225
1201975579 116.40471 39.92225
1201975770 116.41141 39.91801
1201976352 116.41176 39.90977
1201976652 116.40986 39.90625
1201976952 116.42182 39.907
1201977252 116.44359 39.90706
1201978216 116.46187 39.88306
1201978308 116.46153 39.88272
1201978608 116.4581 39.87486
1201978958 116.43899 39.88492
1201979258 116.42394 39.89225
1201979558 116.41311 39.89191
1201979739 116.41183 39.89444
1201979858 116.4125 39.89271
1201980158 116.42048 39.87965
1201980307 116.43341 39.87313
1201980607 116.43394 39.88004
1201980907 116.41859 39.87972
1201980943 116.41639 39.87961
1201981243 116.41012 39.88688
1201982051 116.43874 39.89862
1201982071 116.43877 39.89863
1201982143 116.43917 39.8946
1201982443 116.4495 39.88701
1201982743 116.44985 39.87663
1201983040 116.44465 39.87019
1201983147 116.43928 39.87063
1201983447 116.4303 39.90131
1201983559 116.43047 39.90686
1201983747 116.42995 39.90748
1201984047 116.42827 39.89975
1201984347 116.41934 39.896
1201984414 116.41682 39.89593
1201984647 116.42145 39.89266
1201984947 116.43901 39.88326
1201985247 116.44468 39.87533
1201985446 116.45677 39.87475
1201985746 116.45004 39.88163
1201986046 116.4566 39.88632
1201986101 116.45582 39.88759
1201986701 116.46176 39.88312
1201986912 116.45872 39.87956
1201987212 116.45542 39.88417
1201987747 116.45527 39.90056
1201987917 116.45012 39.89196
1201988217 116.45557 39.89448
1201988517 116.45381 39.90311
1201988709 116.4495 39.90379
1201989009 116.45328 39.90673
1201989777 116.45565 39.91509
1201989909 116.45564 39.93577
1201990595 116.43499 39.96524
1201990874 116.38446 39.96713
1201991174 116.37701 39.98603
1201991190 116.37699 39.98606
1201991490 116.40401 39.98174
1201991530 116.40703 39.98183
1201991830 116.41156 39.96829
1201992130 116.42546 39.95803
1201992248 116.42605 39.95236
1201992548 116.41911 39.94657
1201992848 116.41643 39.93966
1201993148 116.40244 39.93329
1201993153 116.40243 39.93326
1201993453 116.38104 39.93268
1201993489 116.38106 39.93273
1201993789 116.39696 39.93201
1201994089 116.40497 39.91718
1201994121 116.40525 39.91725
1201994421 116.41954 39.92299
1201994701 116.42235 39.93148
1201994949 116.42539 39.93088
1201995249 116.4277 39.94445
1201995549 116.47389 39.97949
1201995849 116.51394 40.01859
1201996149 116.53347 40.05125
1201996449 116.53136 40.07054
1201997451 116.52401 40.03426
1201998051 116.49579 39.99789
1201998351 116.49579 39.99791
1201998651 116.49574 39.99787
1201998951 116.49578 39.99791
