Data(UTC) Time(UTC) Latitude Longitude
02-Feb-2008 13:38:00 116.36717 39.92348
02-Feb-2008 13:41:07 116.37123 39.93143
02-Feb-2008 13:44:32 116.3856 39.932
02-Feb-2008 13:48:24 116.4 39.93205
02-Feb-2008 13:51:04 116.4 39.93205
02-Feb-2008 13:54:48 116.402 39.94863
02-Feb-2008 13:58:54 116.39982 39.95762
02-Feb-2008 14:01:38 116.39173 39.9611
02-Feb-2008 14:23:30 116.39767 39.9672
02-Feb-2008 14:25:21 116.41015 39.9678
02-Feb-2008 14:28:56 116.40163 39.97218
02-Feb-2008 14:33:57 116.40272 39.9818
02-Feb-2008 14:36:19 116.40152 39.99168
02-Feb-2008 14:44:01 116.40143 39.99127
02-Feb-2008 14:47:54 116.40652 39.99818
02-Feb-2008 14:51:41 116.40817 40.00155
02-Feb-2008 14:55:01 116.41022 40.00992
02-Feb-2008 14:56:06 116.41152 40.02072
02-Feb-2008 14:57:03 116.40857 40.02542
02-Feb-2008 14:59:56 116.41108 40.0169
02-Feb-2008 15:06:12 116.4109 39.98447
02-Feb-2008 15:08:46 116.41137 39.97337
02-Feb-2008 15:13:24 116.41198 39.96227
02-Feb-2008 15:16:21 116.42095 39.95803
02-Feb-2008 15:17:45 116.42095 39.95803
02-Feb-2008 15:19:49 116.41073 39.95793
02-Feb-2008 15:24:27 116.40088 39.96092
02-Feb-2008 15:24:30 116.40088 39.96092
02-Feb-2008 15:24:33 116.40088 39.96092
02-Feb-2008 15:30:00 116.40088 39.96092
02-Feb-2008 15:30:04 116.40088 39.96092
02-Feb-2008 15:33:22 116.40375 39.9675
02-Feb-2008 15:34:43 116.4179 39.96787
02-Feb-2008 15:37:07 116.44268 39.9601
02-Feb-2008 15:39:09 116.45342 39.95302
02-Feb-2008 15:41:48 116.45543 39.93167
02-Feb-2008 15:43:23 116.45532 39.92078
02-Feb-2008 15:46:17 116.45548 39.90983
02-Feb-2008 15:49:48 116.45548 39.90983
02-Feb-2008 15:59:47 116.45478 39.90218
02-Feb-2008 15:59:50 116.45497 39.9022
02-Feb-2008 16:01:42 116.45383 39.89247
02-Feb-2008 16:02:53 116.43957 39.8923
02-Feb-2008 16:05:22 116.4302 39.89623
02-Feb-2008 16:08:37 116.42473 39.89392
02-Feb-2008 16:14:13 116.4213 39.89865
02-Feb-2008 16:16:47 116.43035 39.8999
02-Feb-2008 16:19:26 116.43273 39.90472
02-Feb-2008 16:28:49 116.4348 39.91477
02-Feb-2008 16:29:24 116.43467 39.9159
02-Feb-2008 16:33:32 116.44452 39.91933
02-Feb-2008 16:36:58 116.4545 39.92218
02-Feb-2008 16:42:35 116.4545 39.92218
02-Feb-2008 16:45:34 116.45583 39.93628
02-Feb-2008 16:50:05 116.4555 39.9325
02-Feb-2008 16:53:50 116.46002 39.92788
02-Feb-2008 16:53:50 116.46002 39.92788
02-Feb-2008 16:57:38 116.45588 39.93513
02-Feb-2008 16:59:44 116.4559 39.946
02-Feb-2008 17:23:01 116.45543 39.93472
02-Feb-2008 17:26:46 116.45548 39.92337
02-Feb-2008 17:30:42 116.45628 39.9124
02-Feb-2008 17:32:31 116.45628 39.9124
02-Feb-2008 17:32:31 116.45628 39.9124
02-Feb-2008 17:33:13 116.45482 39.90898
02-Feb-2008 17:38:20 116.45393 39.91292
02-Feb-2008 17:39:35 116.45393 39.91292
02-Feb-2008 17:42:15 116.45383 39.91577
02-Feb-2008 17:48:48 116.45492 39.90527
02-Feb-2008 17:50:54 116.45517 39.89448
02-Feb-2008 17:52:12 116.45507 39.8836
02-Feb-2008 17:53:30 116.45482 39.8726
02-Feb-2008 17:54:40 116.45023 39.86297
02-Feb-2008 17:58:59 116.43892 39.8541
02-Feb-2008 18:01:36 116.44053 39.84325
02-Feb-2008 18:02:53 116.44097 39.84038
02-Feb-2008 18:03:14 116.44088 39.84182
02-Feb-2008 18:05:30 116.4392 39.85253
02-Feb-2008 18:07:46 116.4465 39.85983
02-Feb-2008 18:09:04 116.45497 39.8683
02-Feb-2008 18:10:39 116.4596 39.86983
02-Feb-2008 18:15:21 116.45008 39.8748
02-Feb-2008 18:16:46 116.4499 39.8789
02-Feb-2008 18:25:16 116.45543 39.88618
02-Feb-2008 18:25:23 116.4554 39.8868
02-Feb-2008 18:30:56 116.4554 39.89768
02-Feb-2008 18:32:30 116.45845 39.90692
02-Feb-2008 18:33:41 116.47255 39.90688
02-Feb-2008 18:36:31 116.48395 39.9165
02-Feb-2008 18:38:45 116.492 39.92172
02-Feb-2008 18:42:48 116.49593 39.92987
02-Feb-2008 18:44:48 116.50012 39.9319
02-Feb-2008 18:49:14 116.49412 39.9344
02-Feb-2008 18:52:25 116.48407 39.93595
02-Feb-2008 18:53:45 116.48393 39.94683
02-Feb-2008 18:54:55 116.48098 39.9574
02-Feb-2008 18:56:11 116.47085 39.96512
02-Feb-2008 18:57:19 116.46008 39.97217
02-Feb-2008 18:59:29 116.44928 39.97927
02-Feb-2008 18:59:29 116.44928 39.97927
02-Feb-2008 19:02:17 116.43855 39.98623
02-Feb-2008 19:03:35 116.44328 39.99623
02-Feb-2008 19:04:39 116.44718 40.00672
02-Feb-2008 19:06:14 116.45027 40.0165
02-Feb-2008 19:07:45 116.43677 40.01882
02-Feb-2008 19:09:16 116.42297 40.02085
02-Feb-2008 19:12:23 116.42297 40.02085
02-Feb-2008 19:12:30 116.42297 40.02085
02-Feb-2008 20:00:36 116.41137 40.02462
02-Feb-2008 20:00:39 116.4114 40.0244
02-Feb-2008 20:00:42 116.41138 40.02413
02-Feb-2008 20:02:04 116.41035 40.0133
02-Feb-2008 20:05:29 116.41105 40.00255
02-Feb-2008 20:09:00 116.40163 39.99847
02-Feb-2008 20:13:51 116.40115 39.98687
02-Feb-2008 20:16:54 116.4058 39.98697
02-Feb-2008 20:21:46 116.41052 39.98195
02-Feb-2008 20:23:22 116.41135 39.97493
