Data(UTC) Time(UTC) Latitude Longitude
02-Feb-2008 13:33:44 116.42503 39.88505
02-Feb-2008 13:34:29 116.42492 39.88578
02-Feb-2008 13:35:27 116.42362 39.8891
02-Feb-2008 13:37:27 116.4345 39.89223
02-Feb-2008 13:39:27 116.43463 39.89783
02-Feb-2008 13:41:27 116.43027 39.90137
02-Feb-2008 13:43:30 116.42973 39.9072
02-Feb-2008 13:45:30 116.43512 39.91187
02-Feb-2008 13:47:36 116.44412 39.91202
02-Feb-2008 13:48:36 116.44412 39.91202
02-Feb-2008 13:50:36 116.44533 39.92095
02-Feb-2008 13:52:36 116.45137 39.91238
02-Feb-2008 13:56:14 116.45173 39.9094
02-Feb-2008 13:57:47 116.45173 39.9094
02-Feb-2008 13:59:47 116.45225 39.91052
02-Feb-2008 13:59:47 116.45225 39.91052
02-Feb-2008 14:01:47 116.4536 39.90473
02-Feb-2008 14:04:47 116.45625 39.90532
02-Feb-2008 14:06:08 116.45593 39.9048
02-Feb-2008 14:08:08 116.45608 39.90788
02-Feb-2008 14:10:08 116.45723 39.91208
02-Feb-2008 14:11:48 116.46628 39.91225
02-Feb-2008 14:15:08 116.47147 39.91218
02-Feb-2008 14:17:08 116.48147 39.91407
02-Feb-2008 14:19:08 116.48403 39.92248
02-Feb-2008 14:19:08 116.48403 39.92248
02-Feb-2008 14:21:08 116.48395 39.94235
02-Feb-2008 14:23:08 116.47693 39.96118
02-Feb-2008 14:27:49 116.48338 39.979
02-Feb-2008 14:29:17 116.48338 39.979
02-Feb-2008 14:32:09 116.49077 39.98312
02-Feb-2008 14:34:09 116.48552 39.98498
02-Feb-2008 14:36:09 116.48568 39.98493
02-Feb-2008 14:38:09 116.48735 39.98498
02-Feb-2008 14:41:08 116.48385 39.98673
02-Feb-2008 14:43:08 116.47928 39.97615
02-Feb-2008 14:45:08 116.47892 39.97433
02-Feb-2008 14:47:10 116.48313 39.97138
02-Feb-2008 14:55:44 116.49023 39.97068
02-Feb-2008 14:57:44 116.48385 39.97247
02-Feb-2008 14:57:44 116.48385 39.97247
02-Feb-2008 14:57:58 116.4838 39.97355
02-Feb-2008 14:58:01 116.4838 39.9738
02-Feb-2008 15:00:01 116.48375 39.98253
02-Feb-2008 15:02:01 116.48217 39.9877
02-Feb-2008 15:02:01 116.48217 39.9877
02-Feb-2008 15:04:01 116.49647 40.00177
02-Feb-2008 15:06:01 116.50738 40.01115
02-Feb-2008 15:08:31 116.51638 40.02283
02-Feb-2008 15:10:31 116.50593 40.02267
02-Feb-2008 15:12:31 116.4984 40.02802
02-Feb-2008 15:15:27 116.5059 40.02262
02-Feb-2008 15:17:27 116.51433 40.01993
02-Feb-2008 15:19:27 116.50282 40.0072
02-Feb-2008 15:21:27 116.4944 39.99998
02-Feb-2008 15:23:27 116.48315 39.98902
02-Feb-2008 15:26:14 116.48198 39.98793
02-Feb-2008 15:28:14 116.48015 39.9771
02-Feb-2008 15:30:31 116.47925 39.97632
02-Feb-2008 15:33:38 116.47795 39.97503
02-Feb-2008 15:35:38 116.46822 39.96638
02-Feb-2008 15:37:38 116.45972 39.9585
02-Feb-2008 15:39:00 116.45587 39.9547
02-Feb-2008 15:41:47 116.4508 39.94737
02-Feb-2008 15:43:47 116.44805 39.94295
02-Feb-2008 15:48:20 116.44927 39.9335
02-Feb-2008 15:50:49 116.4528 39.93242
02-Feb-2008 15:55:07 116.45507 39.92282
02-Feb-2008 15:58:53 116.45512 39.91868
02-Feb-2008 16:00:52 116.45512 39.91868
02-Feb-2008 16:01:48 116.45512 39.91868
02-Feb-2008 16:03:48 116.45692 39.90677
02-Feb-2008 16:05:48 116.47652 39.90683
02-Feb-2008 16:07:48 116.48355 39.89105
02-Feb-2008 16:09:48 116.48333 39.87972
02-Feb-2008 16:13:01 116.47665 39.87817
02-Feb-2008 16:17:11 116.47138 39.88693
02-Feb-2008 16:18:09 116.47138 39.88857
02-Feb-2008 16:20:09 116.47112 39.89193
02-Feb-2008 16:22:09 116.45707 39.89222
02-Feb-2008 16:24:09 116.4554 39.89473
02-Feb-2008 16:26:09 116.45572 39.90633
02-Feb-2008 16:28:09 116.45573 39.90958
02-Feb-2008 16:30:28 116.45535 39.91397
02-Feb-2008 16:32:28 116.45542 39.91973
02-Feb-2008 16:32:28 116.45542 39.91973
02-Feb-2008 16:34:28 116.45552 39.9255
02-Feb-2008 16:36:28 116.45558 39.932
02-Feb-2008 16:38:28 116.4556 39.93865
02-Feb-2008 16:40:28 116.45562 39.94507
02-Feb-2008 16:50:33 116.44305 39.96008
02-Feb-2008 16:52:33 116.44293 39.96255
02-Feb-2008 16:52:33 116.44293 39.96255
02-Feb-2008 16:54:33 116.43508 39.95857
02-Feb-2008 16:55:30 116.4345 39.95838
02-Feb-2008 16:56:24 116.43358 39.9597
02-Feb-2008 16:58:29 116.43902 39.96222
02-Feb-2008 17:00:29 116.43902 39.96275
02-Feb-2008 17:02:29 116.43665 39.96558
02-Feb-2008 17:03:11 116.43665 39.96558
02-Feb-2008 17:06:45 116.43782 39.9649
02-Feb-2008 17:08:45 116.44278 39.96742
02-Feb-2008 17:13:14 116.44187 39.9661
02-Feb-2008 17:13:24 116.44248 39.96567
02-Feb-2008 17:16:08 116.44252 39.9635
02-Feb-2008 17:19:28 116.44097 39.9618
02-Feb-2008 17:21:28 116.44712 39.957
02-Feb-2008 17:23:28 116.45243 39.95348
02-Feb-2008 17:24:43 116.45243 39.95348
02-Feb-2008 17:25:11 116.45195 39.95558
02-Feb-2008 17:27:16 116.44898 39.95703
02-Feb-2008 17:29:36 116.44622 39.95713
02-Feb-2008 17:31:36 116.4524 39.95363
02-Feb-2008 17:35:37 116.45553 39.93833
02-Feb-2008 17:37:37 116.45572 39.92943
02-Feb-2008 17:41:37 116.45535 39.9202
02-Feb-2008 17:43:37 116.45538 39.90978
02-Feb-2008 17:45:37 116.45513 39.89588
02-Feb-2008 17:47:37 116.46058 39.89197
02-Feb-2008 18:00:50 116.52217 39.8982
02-Feb-2008 18:02:50 116.52302 39.90422
02-Feb-2008 18:04:51 116.52363 39.9077
02-Feb-2008 18:06:51 116.51995 39.91588
02-Feb-2008 18:08:24 116.52538 39.91565
02-Feb-2008 18:08:26 116.52565 39.91563
02-Feb-2008 18:08:29 116.52605 39.9156
02-Feb-2008 18:11:04 116.53798 39.91492
02-Feb-2008 18:13:06 116.54367 39.91472
02-Feb-2008 18:15:06 116.55325 39.91478
02-Feb-2008 18:17:06 116.56263 39.91458
02-Feb-2008 18:19:06 116.5707 39.9115
02-Feb-2008 18:21:06 116.5743 39.90895
02-Feb-2008 18:23:31 116.5925 39.90777
02-Feb-2008 18:25:39 116.5943 39.9077
02-Feb-2008 18:27:39 116.59872 39.89735
02-Feb-2008 18:29:36 116.59872 39.89735
02-Feb-2008 18:32:15 116.60025 39.89695
02-Feb-2008 18:34:15 116.59502 39.90638
02-Feb-2008 18:36:15 116.59445 39.91142
02-Feb-2008 18:40:31 116.58515 39.91327
02-Feb-2008 18:42:31 116.5778 39.91298
02-Feb-2008 18:46:31 116.57742 39.92037
02-Feb-2008 18:48:31 116.57947 39.92718
02-Feb-2008 18:50:31 116.58322 39.9367
02-Feb-2008 18:52:31 116.58007 39.94493
02-Feb-2008 18:54:31 116.57792 39.95507
02-Feb-2008 18:56:31 116.56793 39.96313
02-Feb-2008 19:59:40 116.54632 39.95648
02-Feb-2008 20:02:35 116.54495 39.95683
02-Feb-2008 20:04:35 116.54127 39.95178
02-Feb-2008 20:06:35 116.53927 39.94043
02-Feb-2008 20:09:09 116.52423 39.94043
02-Feb-2008 20:09:32 116.52097 39.94035
02-Feb-2008 20:11:32 116.50847 39.94352
02-Feb-2008 20:13:32 116.50843 39.94423
02-Feb-2008 20:13:38 116.50842 39.94367
02-Feb-2008 20:15:38 116.51113 39.93368
02-Feb-2008 20:16:36 116.51013 39.9336
02-Feb-2008 20:16:39 116.51048 39.9336
02-Feb-2008 20:16:42 116.51072 39.93358
02-Feb-2008 20:19:08 116.5113 39.93905
02-Feb-2008 20:21:13 116.49947 39.93588
02-Feb-2008 20:25:01 116.48487 39.93252
02-Feb-2008 20:29:14 116.46415 39.93252
02-Feb-2008 20:34:30 116.45978 39.93268
02-Feb-2008 20:36:48 116.45778 39.93258
02-Feb-2008 20:38:48 116.45568 39.94145
02-Feb-2008 20:40:48 116.45512 39.94795
02-Feb-2008 20:43:47 116.45292 39.94765
02-Feb-2008 20:44:56 116.45292 39.94765
02-Feb-2008 20:45:11 116.45292 39.94765
02-Feb-2008 20:47:11 116.44118 39.9483
02-Feb-2008 20:49:18 116.43895 39.9498
02-Feb-2008 20:53:36 116.4398 39.95555
02-Feb-2008 20:54:30 116.44133 39.95685
02-Feb-2008 20:55:24 116.44068 39.9562
