UTS Latitude Longitude
1372637225 41.145039 -8.580942
1372637240 41.145021 -8.582706
1372637255 41.146164 -8.584092
1372637270 41.14683 -8.58546
1372637285 41.147397 -8.587116
1372637300 41.148018 -8.586171
1372637315 41.148963 -8.58609
1372637330 41.149368 -8.588016
1372637345 41.150016 -8.590401
1372637360 41.150736 -8.593119
1372637375 41.150853 -8.593506
1372637390 41.15097 -8.593668
1372637405 41.150232 -8.595342
1372637420 41.149827 -8.59608
1372637435 41.148909 -8.597466
1372637450 41.148567 -8.598051
1372637465 41.148342 -8.598663
1372637480 41.148585 -8.600688
1372637495 41.147325 -8.601723
1372637510 41.147262 -8.601795
1372637525 41.147289 -8.601768
1372637540 41.147001 -8.602227
1372637555 41.146578 -8.603667
1372637570 41.146578 -8.603739
1372637585 41.146164 -8.604477
1372637600 41.145408 -8.604702
1372637615 41.145327 -8.604477
1372637630 41.144445 -8.604747
1372637645 41.144148 -8.604945
1372637660 41.143608 -8.603703
1372637675 41.142807 -8.602236
1372637690 41.142681 -8.603244
1372637705 41.142798 -8.604
1372637720 41.142798 -8.603982
1372637735 41.142816 -8.603973
