UTS Latitude Longitude
1372636873 41.141376 -8.618499
1372636888 41.14251 -8.620326
1372636903 41.143815 -8.622153
1372636918 41.144373 -8.623953
1372636933 41.144778 -8.62668
1372636948 41.144697 -8.627373
1372636963 41.14521 -8.630226
1372636978 41.14692 -8.632746
1372636993 41.148225 -8.631738
1372637008 41.150385 -8.629938
1372637023 41.151213 -8.62911
1372637038 41.15124 -8.629128
1372637053 41.152203 -8.628786
1372637068 41.152374 -8.628687
1372637083 41.152518 -8.628759
1372637098 41.15268 -8.630838
1372637113 41.153022 -8.632323
1372637128 41.154489 -8.631144
1372637143 41.154507 -8.630829
1372637158 41.154516 -8.630829
1372637173 41.154498 -8.630829
1372637188 41.154489 -8.630838
